doubles,0,1,2,3,4,5,6,7,8,9
0,6,3466,160,268,10,304,99,685,49,76
1,1,134,280,426,30,539,181,839,44,111
2,2,117,476,517,52,619,283,660,75,196
3,5,26,491,597,74,655,349,418,122,397
4,14,12,496,569,118,560,456,328,227,521
5,21,7,478,458,226,428,455,297,280,587
6,42,7,386,379,403,271,541,238,400,564
7,100,7,348,251,576,184,473,142,473,484
8,199,6,252,158,712,107,379,93,535,343
9,289,5,164,80,580,76,260,53,508,232
10,465,1,115,53,448,33,169,14,442,135
11,558,3,63,25,258,10,72,13,317,80
12,684,1,38,9,146,5,35,9,173,35
13,599,2,22,3,82,2,28,2,87,17
14,491,0,14,1,40,1,9,1,38,4
15,191,0,6,0,28,1,4,1,16,9
16,97,1,5,1,5,0,2,2,7,2
17,23,0,0,0,5,0,0,0,2,1
18,6,0,1,0,2,0,0,0,0,1
19,2,0,0,0,0,0,0,0,0,0
