ink,0,1,2,3,4,5,6,7,8,9
5086,0,1,0,0,0,0,0,0,0,0
5585,0,1,0,0,0,0,0,0,0,0
5927,0,1,0,0,0,0,0,0,0,0
6130,0,1,0,0,0,0,0,0,0,0
6138,0,1,0,0,0,0,0,0,0,0
6147,0,1,0,0,0,0,0,0,0,0
6213,0,1,0,0,0,0,0,0,0,0
6288,0,1,0,0,0,0,0,0,0,0
6436,0,1,0,0,0,0,0,0,0,0
6593,0,0,0,0,0,0,1,0,0,0
6598,0,1,0,0,0,0,0,0,0,0
6642,0,1,0,0,0,0,0,0,0,0
6680,0,1,0,0,0,0,0,0,0,0
6698,0,1,0,0,0,0,0,0,0,0
6731,0,1,0,0,0,0,0,0,0,0
6741,0,1,0,0,0,0,0,0,0,0
6750,0,1,0,0,0,0,0,0,0,0
6768,0,1,0,0,0,0,0,0,0,0
6773,0,1,0,0,0,0,0,0,0,0
6815,0,1,0,0,0,0,0,0,0,0
6816,0,1,0,0,0,0,0,0,0,0
6909,0,1,0,0,0,0,0,0,0,0
6931,0,1,0,0,0,0,0,0,0,0
6978,0,1,0,0,0,0,0,0,0,0
6995,0,1,0,0,0,0,0,0,0,0
7026,0,1,0,0,0,0,0,0,0,0
7042,0,1,0,0,0,0,0,0,0,0
7091,0,1,0,0,0,0,0,0,0,0
7118,0,1,0,0,0,0,0,0,0,0
7120,0,1,0,0,0,0,0,0,0,0
7154,0,1,0,0,0,0,0,0,0,0
7155,0,1,0,0,0,0,0,0,0,0
7173,0,1,0,0,0,0,0,0,0,0
7209,0,1,0,0,0,0,0,0,0,0
7229,0,1,0,0,0,0,0,0,0,0
7301,0,1,0,0,0,0,0,0,0,0
7307,0,1,0,0,0,0,0,0,0,0
7315,0,1,0,0,0,0,0,0,0,0
7355,0,1,0,0,0,0,0,0,0,0
7390,0,1,0,0,0,0,0,0,0,0
7394,0,1,0,0,0,0,0,0,0,0
7430,0,1,0,0,0,0,0,0,0,0
7433,0,1,0,0,0,0,0,0,0,0
7460,0,1,0,0,0,0,0,0,0,0
7467,0,1,0,0,0,0,0,0,0,0
7475,0,1,0,0,0,0,0,0,0,0
7480,0,1,0,0,0,0,0,0,0,0
7483,0,1,0,0,0,0,0,0,0,0
7491,0,1,0,0,0,0,0,0,0,0
7495,0,1,0,0,0,0,0,0,0,0
7587,0,1,0,0,0,0,0,0,0,0
7599,0,1,0,0,0,0,0,0,0,0
7604,0,1,0,0,0,0,0,0,0,0
7624,0,1,0,0,0,0,0,0,0,0
7652,0,1,0,0,0,0,0,0,0,0
7669,0,1,0,0,0,0,0,0,0,0
7694,0,1,0,0,0,0,0,0,0,0
7753,0,0,0,0,0,1,0,0,0,0
7762,0,1,0,0,0,0,0,0,0,0
7779,0,1,0,0,0,0,0,0,0,0
7808,0,1,0,0,0,0,0,0,0,0
7815,0,1,0,0,0,0,0,0,0,0
7835,0,1,0,0,0,0,0,0,0,0
7856,0,1,0,0,0,0,0,0,0,0
7857,0,1,0,0,0,0,0,0,0,0
7862,0,1,0,0,0,0,0,0,0,0
7875,0,1,0,0,0,0,0,0,0,0
7883,0,1,0,0,0,0,0,0,0,0
7894,0,1,0,0,0,0,0,0,0,0
7901,0,1,0,0,0,0,0,0,0,0
7911,0,1,0,0,0,1,0,0,0,0
7948,0,1,0,0,0,0,0,0,0,0
7949,0,1,0,0,0,0,0,0,0,0
7961,0,1,0,0,0,0,0,0,0,0
7965,0,1,0,0,0,0,0,0,0,0
7968,0,1,0,0,0,0,0,0,0,0
7983,0,1,0,0,0,0,0,0,0,0
7987,0,1,0,0,0,0,0,0,0,0
8030,0,1,0,0,0,0,0,0,0,0
8077,0,1,0,0,0,0,0,0,0,0
8092,0,1,0,0,0,0,0,0,0,0
8101,0,1,0,0,0,1,0,0,0,0
8102,0,0,0,1,0,0,0,0,0,0
8108,0,1,0,0,0,0,0,0,0,0
8116,0,2,0,0,0,0,0,0,0,0
8151,0,1,0,0,0,0,0,0,0,0
8205,0,1,0,0,0,0,0,0,0,0
8209,0,1,0,0,0,0,0,0,0,0
8225,0,1,0,0,0,0,0,0,0,0
8234,0,1,0,0,0,0,0,0,0,0
8238,0,0,0,0,1,0,0,0,0,0
8243,0,1,0,0,0,0,0,0,0,0
8249,0,1,0,0,0,0,0,0,0,0
8271,0,1,0,0,0,0,0,0,0,0
8283,0,1,0,0,0,0,0,0,0,0
8293,0,1,0,0,0,0,0,0,0,0
8297,0,1,0,0,0,0,0,0,0,0
8308,0,1,0,0,0,0,0,0,0,0
8322,0,1,0,0,0,0,0,0,0,0
8337,0,1,0,0,0,0,0,0,0,0
8348,0,1,0,0,0,0,0,0,0,0
8351,0,1,0,0,0,0,0,0,0,0
8376,0,1,0,0,0,0,0,0,0,0
8386,0,1,0,0,0,0,0,0,0,0
8402,0,1,0,0,0,0,0,0,0,0
8407,0,1,0,0,0,0,0,0,0,0
