,number,value,datetime_start,datetime_complete,duration,params_C,params_gamma,state
0,0,0.9498000000000001,2022-12-03 13:10:07.616472,2022-12-03 13:10:10.797791,0 days 00:00:03.181319,6528424.965064784,7.171386680746689e-07,COMPLETE
1,1,0.9506,2022-12-03 13:10:10.797791,2022-12-03 13:10:13.936184,0 days 00:00:03.138393,113975.57765170788,7.649852963251771e-07,COMPLETE
2,2,0.9494,2022-12-03 13:10:13.936184,2022-12-03 13:10:16.926102,0 days 00:00:02.989918,190374.97354491454,6.751614680849844e-07,COMPLETE
3,3,0.9465999999999999,2022-12-03 13:10:16.926102,2022-12-03 13:10:26.827888,0 days 00:00:09.901786,2602547.879163801,3.503837797627625e-06,COMPLETE
4,4,0.9506,2022-12-03 13:10:26.827888,2022-12-03 13:10:30.097409,0 days 00:00:03.269521,2680699.7039127443,7.989420568922e-07,COMPLETE
5,5,0.9506,2022-12-03 13:10:30.097409,2022-12-03 13:10:33.286636,0 days 00:00:03.189227,2259225.350161007,8.054594083356987e-07,COMPLETE
6,6,0.9440000000000002,2022-12-03 13:10:33.286636,2022-12-03 13:10:43.352168,0 days 00:00:10.065532,1284155.667451874,3.628232502380799e-06,COMPLETE
7,7,0.8395999999999999,2022-12-03 13:10:43.352168,2022-12-03 13:10:55.863134,0 days 00:00:12.510966,419890.6866410533,6.314363685865684e-06,COMPLETE
8,8,0.9286,2022-12-03 13:10:55.863134,2022-12-03 13:10:58.275218,0 days 00:00:02.412084,8911003.332131678,1.3516046811329868e-07,COMPLETE
9,9,0.9398,2022-12-03 13:10:58.275218,2022-12-03 13:11:00.714180,0 days 00:00:02.438962,1744720.1301492378,2.542197155655938e-07,COMPLETE
10,10,0.9568,2022-12-03 13:11:00.714180,2022-12-03 13:11:06.934266,0 days 00:00:06.220086,229373.3898189295,2.2024685054520616e-06,COMPLETE
11,11,0.9570000000000001,2022-12-03 13:11:06.936812,2022-12-03 13:11:12.701011,0 days 00:00:05.764199,109450.85193067261,2.0136137175979974e-06,COMPLETE
12,12,0.9576,2022-12-03 13:11:12.701011,2022-12-03 13:11:18.274619,0 days 00:00:05.573608,391061.87478050985,1.9325260891098896e-06,COMPLETE
13,13,0.9564,2022-12-03 13:11:18.274619,2022-12-03 13:11:23.410332,0 days 00:00:05.135713,574398.7812046804,1.769878542395538e-06,COMPLETE
14,14,0.6890000000000001,2022-12-03 13:11:23.410332,2022-12-03 13:11:35.966205,0 days 00:00:12.555873,103595.52075292113,9.140759502127718e-06,COMPLETE
15,15,0.9568,2022-12-03 13:11:35.972696,2022-12-03 13:11:41.134214,0 days 00:00:05.161518,632260.1324653971,1.7006863000134961e-06,COMPLETE
16,16,0.9452,2022-12-03 13:11:41.134214,2022-12-03 13:11:51.672752,0 days 00:00:10.538538,285968.3281419346,3.5725031483647155e-06,COMPLETE
17,17,0.9410000000000001,2022-12-03 13:11:51.672752,2022-12-03 13:11:54.148026,0 days 00:00:02.475274,169597.27349922233,2.7271671096544334e-07,COMPLETE
