,number,value,datetime_start,datetime_complete,duration,params_C,params_gamma,state
0,0,0.2184,2022-12-05 10:53:17.164275,2022-12-05 10:53:32.600221,0 days 00:00:15.435946,4.4973021259099335,0.2303744718846867,COMPLETE
1,1,0.9098,2022-12-05 10:53:32.601835,2022-12-05 10:53:36.169439,0 days 00:00:03.567604,0.7285559935496149,0.009679652198614986,COMPLETE
2,2,0.10600000000000001,2022-12-05 10:53:36.170691,2022-12-05 10:53:45.226418,0 days 00:00:09.055727,0.9237196802674168,3.711401480487303e-08,COMPLETE
3,3,0.898,2022-12-05 10:53:45.227212,2022-12-05 10:53:49.016646,0 days 00:00:03.789434,11.476838372637427,4.064338264041067e-05,COMPLETE
4,4,0.6338,2022-12-05 10:53:49.017260,2022-12-05 10:53:57.364884,0 days 00:00:08.347624,62.20082592500275,0.06982385525641718,COMPLETE
5,5,0.096,2022-12-05 10:53:57.365625,2022-12-05 10:54:06.689042,0 days 00:00:09.323417,0.005550275760859833,5.728532412965841e-06,COMPLETE
6,6,0.8939999999999999,2022-12-05 10:54:06.689854,2022-12-05 10:54:10.262977,0 days 00:00:03.573123,362.67053913380533,1.160304679057916e-06,COMPLETE
7,7,0.096,2022-12-05 10:54:10.263742,2022-12-05 10:54:18.959807,0 days 00:00:08.696065,0.008055386286800501,0.31304911670186025,COMPLETE
8,8,0.096,2022-12-05 10:54:18.960542,2022-12-05 10:54:27.611771,0 days 00:00:08.651229,0.026749583401558807,3.4116063905620857e-05,COMPLETE
9,9,0.9166000000000001,2022-12-05 10:54:27.612515,2022-12-05 10:54:29.156721,0 days 00:00:01.544206,3067.1645553183394,0.0008784241177929834,COMPLETE
10,10,0.1934,2022-12-05 10:54:29.157261,2022-12-05 10:54:38.628587,0 days 00:00:09.471326,33892.0027510619,3.16760992204153e-10,COMPLETE
11,11,0.9280000000000002,2022-12-05 10:54:38.629398,2022-12-05 10:54:40.506882,0 days 00:00:01.877484,5407.79546249334,0.0022509207986328964,COMPLETE
12,12,0.9278000000000001,2022-12-05 10:54:40.507403,2022-12-05 10:54:42.189029,0 days 00:00:01.681626,17265.27278646177,0.001697948429085462,COMPLETE
13,13,0.9164,2022-12-05 10:54:42.189761,2022-12-05 10:54:43.709998,0 days 00:00:01.520237,87033.77610272323,0.0008140416626092946,COMPLETE
14,14,0.9264000000000001,2022-12-05 10:54:43.710841,2022-12-05 10:54:45.272811,0 days 00:00:01.561970,2650.6622684007352,0.0014899324373286156,COMPLETE
15,15,0.9183999999999999,2022-12-05 10:54:45.273571,2022-12-05 10:54:47.329605,0 days 00:00:02.056034,12473.229221127023,1.7970822492217337e-07,COMPLETE
16,16,0.9128000000000001,2022-12-05 10:54:47.330383,2022-12-05 10:54:48.624247,0 days 00:00:01.293864,391.2290030726404,0.00017046687814326492,COMPLETE
17,17,0.9154,2022-12-05 10:54:48.625019,2022-12-05 10:54:52.337875,0 days 00:00:03.712856,2622.6090236606888,0.012712101022649375,COMPLETE
18,18,0.9154,2022-12-05 10:54:52.338695,2022-12-05 10:54:56.286710,0 days 00:00:03.948015,254.63596943504103,0.012653748769230352,COMPLETE
19,19,0.1026,2022-12-05 10:54:56.287573,2022-12-05 10:55:05.751559,0 days 00:00:09.463986,49.41389398691644,5.4358431139626e-10,COMPLETE
20,20,0.8256,2022-12-05 10:55:05.752333,2022-12-05 10:55:11.652435,0 days 00:00:05.900102,10599.70465333651,9.007938625199375e-09,COMPLETE
21,21,0.9282,2022-12-05 10:55:11.653277,2022-12-05 10:55:13.258312,0 days 00:00:01.605035,2165.284372412594,0.0019633012844947305,COMPLETE
22,22,0.9086000000000001,2022-12-05 10:55:13.259143,2022-12-05 10:55:14.556498,0 days 00:00:01.297355,978.4257447077397,0.0002370265122038323,COMPLETE
23,23,0.9318,2022-12-05 10:55:14.557285,2022-12-05 10:55:16.631777,0 days 00:00:02.074492,70572.73629781503,0.004278683616660692,COMPLETE
24,24,0.7309999999999999,2022-12-05 10:55:16.632541,2022-12-05 10:55:25.657390,0 days 00:00:09.024849,89706.04034529607,0.048131872702755256,COMPLETE
25,25,0.166,2022-12-05 10:55:25.657784,2022-12-05 10:55:34.846740,0 days 00:00:09.188956,6496.090152677944,0.8949711766033035,COMPLETE
26,26,0.9061999999999999,2022-12-05 10:55:34.847554,2022-12-05 10:55:36.665303,0 days 00:00:01.817749,39089.43502520242,3.486905637649141e-06,COMPLETE
27,27,0.9114000000000001,2022-12-05 10:55:36.665773,2022-12-05 10:55:38.601556,0 days 00:00:01.935783,986.1998232235918,9.036123155681507e-05,COMPLETE
28,28,0.9326000000000001,2022-12-05 10:55:38.602080,2022-12-05 10:55:41.814809,0 days 00:00:03.212729,63.326923343180695,0.00512048946653697,COMPLETE
29,29,0.7018,2022-12-05 10:55:41.815742,2022-12-05 10:55:50.324149,0 days 00:00:08.508407,62.61960266601728,0.05411612745243697,COMPLETE
30,30,0.9276,2022-12-05 10:55:50.324939,2022-12-05 10:55:53.452689,0 days 00:00:03.127750,9.361616848901528,0.007470794316994622,COMPLETE
31,31,0.9301999999999999,2022-12-05 10:55:53.453279,2022-12-05 10:55:55.460924,0 days 00:00:02.007645,1036.9773400355623,0.0028813908616377977,COMPLETE
32,32,0.9324,2022-12-05 10:55:55.461754,2022-12-05 10:55:57.792598,0 days 00:00:02.330844,149.76313362394276,0.006014069000593331,COMPLETE
33,33,0.41319999999999996,2022-12-05 10:55:57.793142,2022-12-05 10:56:06.859730,0 days 00:00:09.066588,1.2076151394929713,0.13076311705003354,COMPLETE
34,34,0.9209999999999999,2022-12-05 10:56:06.860455,2022-12-05 10:56:09.964488,0 days 00:00:03.104033,23.57683001442394,0.009678073358944186,COMPLETE
35,35,0.9120000000000001,2022-12-05 10:56:09.965438,2022-12-05 10:56:12.803337,0 days 00:00:02.837899,3.9555776058324432,0.0003317036173514722,COMPLETE
36,36,0.921,2022-12-05 10:56:12.804114,2022-12-05 10:56:14.577684,0 days 00:00:01.773570,144.06404720169004,2.489260123329819e-05,COMPLETE
37,37,0.8183999999999999,2022-12-05 10:56:14.578563,2022-12-05 10:56:20.999492,0 days 00:00:06.420929,2.8531775639575483,0.03242527905862866,COMPLETE
38,38,0.19959999999999997,2022-12-05 10:56:21.000348,2022-12-05 10:56:29.037247,0 days 00:00:08.036899,137.26311700318138,0.29451177433354697,COMPLETE
39,39,0.876,2022-12-05 10:56:29.038049,2022-12-05 10:56:33.661396,0 days 00:00:04.623347,0.1464766609584075,0.004289481285901154,COMPLETE
40,40,0.09659999999999999,2022-12-05 10:56:33.662172,2022-12-05 10:56:45.030685,0 days 00:00:11.368513,0.0012417938745409478,1.4042663863931662e-05,COMPLETE
41,41,0.9322000000000001,2022-12-05 10:56:45.031624,2022-12-05 10:56:47.972537,0 days 00:00:02.940913,1505.1430990132374,0.004762328183794302,COMPLETE
42,42,0.9099999999999999,2022-12-05 10:56:47.973918,2022-12-05 10:56:49.797671,0 days 00:00:01.823753,521.5727487486178,0.0004071506665355732,COMPLETE
